,matched_sort_Adm_1,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,reviewed,options
0,ABYAN,80,"['17/12/2009', '14/03/2010', '15/03/2010', '03/06/2011', '10/06/2011', '10/06/2011', '18/06/2011', '14/07/2011', '14/07/2011', '27/07/2011', '01/08/2011', '24/08/2011', '24/08/2011', '25/08/2011', '31/08/2011', '05/09/2011', '05/09/2011', '07/09/2011', '21/09/2011', '21/09/2011', '05/10/2011', '22/12/2011', '31/01/2012', '31/01/2012', '10/03/2012', '11/03/2012', '18/03/2012', '18/03/2012', '22/03/2012', '08/04/2012', '11/04/2012', '18/04/2012', '21/04/2012', '23/04/2012', '26/04/2012', '30/04/2012', '30/04/2012', '02/05/2012', '10/05/2012', '10/05/2012', '14/05/2012', '14/05/2012', '14/05/2012', '15/05/2012', '16/05/2012', '17/05/2012', '19/05/2012', '20/05/2012', '28/05/2012', '01/06/2012', '07/06/2012', '07/06/2012', '07/06/2012', '13/06/2012', '15/06/2012', '20/06/2012', '25/06/2012', '04/07/2012', '23/07/2012', '20/09/2012', '18/10/2012', '18/05/2013', '01/06/2013', '27/07/2013', '26/11/2013', '31/12/2013', '03/02/2014', '03/03/2014', '01/04/2014', '20/04/2014', '29/07/2015', '03/02/2016', '26/03/2016', '26/03/2016', '05/04/2016', '25/04/2016', '04/03/2017', '01/07/2017', '13/08/2017', '09/09/2018']","[55, 2, 7, 7, 1, 2, 0, 6, 0, 5, 13, 30, 6, 8, 30, 3, 9, 3, 4, 6, 5, 1, 10, 0, 24, 3, 14, 8, 29, 16, 10, 6, 12, 0, 3, 4, 3, 10, 5, 2, 10, 6, 0, 14, 16, 5, 3, 0, 5, 11, 2, 3, 5, 10, 5, 1, 3, 3, 5, 2, 7, 4, 7, 4, 12, 2, 0, 1, 3, 24, 4, 3, 8, 6, 0, 3, 2, 2, 0, 4]","[58, 3, 20, 7, 1, 3, 0, 50, 0, 5, 16, 30, 6, 8, 30, 7, 11, 10, 4, 7, 5, 1, 14, 0, 24, 6, 18, 8, 30, 16, 14, 10, 17, 4, 3, 4, 3, 15, 12, 4, 10, 6, 0, 42, 16, 6, 5, 9, 5, 12, 2, 3, 5, 18, 7, 1, 3, 13, 5, 4, 9, 9, 8, 9, 12, 6, 4, 1, 3, 31, 5, 3, 8, 6, 0, 6, 2, 2, 3, 4]","[44, 0, 0, 4, 0, 2, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44, 0, 20, 4, 0, 3, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 6, 0, 0, 0, 12, 40, 0, 3, 0, 4, 2, 2, 0, 3, 7, 0, 0, 0, 0, 0, 0, 0, 24, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 5, 0, 0, 0, 0, 0, 7, 0, 3, 1, 4, 0, 0, 7, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 1, 6, 0, 0, 0, 17, 40, 0, 3, 0, 4, 2, 24, 0, 3, 7, 0, 0, 0, 0, 0, 0, 0, 24, 0, 10, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 14, 0, 0, 0, 0, 0, 7, 0, 3, 1, 5, 0, 0, 7, 0, 3, 0, 0, 3, 0, 0, 3, 2, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-3182060,YE-AB,Abyan,Abyan,13.786202,46.141766,,"[('ABYANGOVERNORATE', 90, 8), ('ADANGOVERNORATE', 54, 3), ('ALHUDAYDAHGOVERNORATE', 54, 4), ('SHABWAHGOVERNORATE', 54, 6), ('ALBAYDAGOVERNORATE', 54, 11)]"
1,ALBAYDA,56,"['09/03/2012', '13/03/2012', '14/04/2012', '19/05/2012', '28/05/2012', '20/06/2012', '06/08/2012', '02/09/2012', '24/12/2012', '29/12/2012', '04/01/2013', '23/01/2013', '20/05/2013', '30/08/2013', '12/12/2013', '06/01/2014', '19/04/2014', '21/06/2014', '24/10/2014', '26/10/2014', '04/11/2014', '02/02/2015', '09/06/2016', '13/09/2016', '22/09/2016', '29/09/2016', '21/11/2016', '24/11/2016', '29/12/2016', '08/01/2017', '20/01/2017', '21/01/2017', '22/01/2017', '28/01/2017', '09/09/2017', '04/10/2017', '16/10/2017', '19/10/2017', '25/10/2017', '10/11/2017', '11/11/2017', '12/11/2017', '19/11/2017', '20/11/2017', '23/11/2017', '26/11/2017', '15/12/2017', '01/01/2018', '11/02/2018', '16/02/2018', '29/03/2018', '23/04/2018', '18/09/2018', '25/11/2018', '31/03/2019', '24/06/2019']","[23, 4, 3, 2, 3, 5, 7, 12, 2, 3, 3, 3, 2, 4, 12, 0, 13, 0, 3, 12, 9, 3, 2, 5, 2, 2, 1, 2, 2, 1, 1, 3, 1, 39, 2, 1, 50, 5, 9, 2, 1, 2, 2, 5, 2, 3, 1, 0, 6, 2, 3, 0, 0, 5, 0, 0]","[34, 5, 7, 2, 5, 30, 7, 12, 3, 4, 3, 5, 2, 6, 17, 0, 21, 0, 10, 20, 20, 6, 2, 5, 3, 2, 1, 2, 2, 1, 1, 6, 3, 39, 7, 2, 50, 5, 13, 2, 1, 2, 2, 5, 2, 3, 1, 2, 6, 3, 4, 0, 0, 8, 0, 5]","[2, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 2, 0, 0, 12, 0, 0, 0, 0, 0, 0, 16, 0, 8, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 4, 6, 0, 4, 3, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[55, 0, 0, 0, 4, 6, 0, 11, 3, 2, 0, 0, 0, 0, 30, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",-3182650,YE-BA,Al Bayḑā’,Al Bayda',14.34166,45.394422,,"[('ALBAYDAGOVERNORATE', 90, 11), ('ALHUDAYDAHGOVERNORATE', 51, 4), ('ABYANGOVERNORATE', 51, 8), ('ALMAHRAHGOVERNORATE', 51, 18), ('SANA', 45, 0)]"
2,ALJAWF,8,"['30/09/2011', '29/04/2012', '22/01/2013', '09/06/2013', '05/03/2014', '12/03/2014', '26/09/2014', '02/06/2015']","[4, 3, 3, 2, 2, 2, 2, 5]","[4, 3, 5, 7, 4, 3, 3, 20]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 3, 0]",-3188323,YE-JA,Al Jawf,Al Jawf,16.689733,45.611556,,"[('ALJAWFGOVERNORATE', 90, 9), ('ALMAHWITGOVERNORATE', 60, 13), ('ALHUDAYDAHGOVERNORATE', 45, 4), ('ALBAYDAGOVERNORATE', 45, 11), ('HAJJAHGOVERNORATE', 45, 15)]"
3,DHAMAR,1,['17/04/2013'],[4],[4],[0],[4],[0],[0],[0],[0],-3186338,YE-DH,Dhamār,Dhamar,14.682965,44.272937,,"[('DHAMARGOVERNORATE', 90, 16), ('HADHRAMAUT', 75, 7), ('SANA', 45, 0), ('ALHUDAYDAHGOVERNORATE', 45, 4), ('SHABWAHGOVERNORATE', 45, 6)]"
4,HADRAMAWT,46,"['17/05/2012', '04/08/2012', '07/08/2012', '28/08/2012', '29/08/2012', '31/08/2012', '24/12/2012', '28/12/2012', '01/08/2013', '08/08/2013', '08/08/2013', '19/11/2013', '09/12/2013', '27/12/2013', '08/01/2014', '15/01/2014', '16/08/2014', '26/11/2014', '12/04/2015', '21/04/2015', '11/05/2015', '09/06/2015', '25/06/2015', '26/06/2015', '03/07/2015', '11/07/2015', '12/08/2015', '23/08/2015', '26/08/2015', '09/09/2015', '12/09/2015', '19/01/2016', '29/02/2016', '22/03/2016', '28/03/2016', '30/03/2016', '03/04/2016', '30/11/2016', '05/03/2018', '07/03/2018', '08/03/2018', '09/03/2018', '26/03/2018', '11/04/2018', '22/07/2018', '24/07/2018']","[2, 3, 2, 2, 5, 8, 3, 2, 3, 2, 3, 5, 3, 1, 2, 1, 3, 7, 3, 5, 4, 3, 4, 4, 4, 3, 5, 4, 5, 3, 4, 2, 3, 50, 5, 0, 0, 3, 1, 1, 0, 6, 0, 0, 0, 0]","[3, 5, 3, 3, 5, 8, 7, 3, 5, 7, 5, 5, 3, 6, 2, 1, 3, 7, 7, 7, 4, 3, 5, 4, 4, 10, 5, 4, 5, 6, 5, 2, 3, 71, 5, 0, 0, 3, 4, 1, 0, 6, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 6, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 30, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",-3187120,YE-HD,Ḩaḑramawt,Hadramawt,16,49,,"[('HADHRAMAUT', 84, 7), ('SANA', 45, 0), ('ADANGOVERNORATE', 42, 3), ('ALHUDAYDAHGOVERNORATE', 40, 4), ('SADAHGOVERNORATE', 40, 14)]"
5,LAHIJ,2,"['10/08/2013', '15/02/2016']","[2, 3]","[5, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 0]","[5, 0]",9236596,YE-LA,Laḩij,Lahij,13.166667,44.583333,,"[('LAHIJGOVERNORATE', 90, 2), ('ALMAHWITGOVERNORATE', 54, 13), ('ALMAHRAHGOVERNORATE', 54, 18), ('ALHUDAYDAHGOVERNORATE', 36, 4), ('TAIZZGOVERNORATE', 36, 5)]"
6,MARIB,38,"['03/11/2002', '20/01/2010', '24/05/2010', '22/04/2012', '12/05/2012', '21/10/2012', '19/01/2013', '19/01/2013', '19/01/2013', '20/01/2013', '21/01/2013', '21/04/2013', '06/08/2013', '08/08/2013', '24/01/2014', '02/03/2014', '10/03/2014', '12/05/2014', '04/06/2014', '13/06/2014', '09/08/2014', '21/08/2015', '21/09/2015', '23/04/2016', '10/06/2016', '10/07/2016', '20/09/2016', '23/09/2016', '21/10/2016', '18/04/2017', '29/04/2017', '23/05/2017', '08/10/2017', '02/11/2017', '19/12/2017', '22/03/2018', '01/01/2019', '02/01/2020']","[6, 2, 3, 4, 6, 4, 0, 2, 4, 3, 2, 2, 4, 3, 3, 2, 1, 4, 3, 5, 3, 3, 2, 2, 2, 0, 2, 3, 5, 3, 4, 7, 5, 2, 1, 5, 1, 0]","[6, 2, 4, 4, 7, 4, 0, 4, 6, 3, 4, 2, 4, 8, 4, 3, 4, 6, 4, 6, 3, 3, 2, 2, 2, 0, 2, 5, 5, 4, 5, 12, 5, 2, 1, 7, 1, 2]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 4, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]",-3189596,YE-MA,Ma’rib,Ma'rib,15.416667,45.35,,"[('MARIBGOVERNORATE', 90, 19), ('ALMAHWITGOVERNORATE', 54, 13), ('DHAMARGOVERNORATE', 54, 16), ('ALMAHRAHGOVERNORATE', 54, 18), ('LAHIJGOVERNORATE', 36, 2)]"
7,SADAH,2,"['15/01/2010', '28/10/2012']","[0, 4]","[6, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[0, 1]",-3191246,YE-SD,Şa‘dah,Sa`dah,17.063405,43.914884,,"[('SADAHGOVERNORATE', 90, 14), ('ALHUDAYDAHGOVERNORATE', 72, 4), ('SANA', 67, 0), ('SANAGOVERNORATE', 54, 1), ('ADANGOVERNORATE', 54, 3)]"
8,SANA,3,"['17/12/2009', '07/11/2012', '23/01/2013']","[0, 2, 4]","[0, 2, 4]","[0, 0, 2]","[0, 0, 2]","[0, 0, 0]","[0, 0, 0]","[0, 2, 0]","[0, 3, 0]",-3191447,YE-SN,Şan‘ā’,San`a',15.260691,44.424895,,"[('SANA', 100, 0), ('SANAGOVERNORATE', 90, 1), ('SADAHGOVERNORATE', 68, 14), ('LAHIJGOVERNORATE', 45, 2), ('ADANGOVERNORATE', 45, 3)]"
9,SHABWAH,64,"['24/12/2009', '12/01/2010', '05/05/2011', '14/10/2011', '14/10/2011', '14/10/2011', '30/03/2012', '07/04/2012', '16/04/2012', '23/04/2012', '06/05/2012', '11/06/2012', '13/06/2012', '15/06/2012', '19/06/2012', '03/07/2012', '04/10/2012', '01/01/2013', '30/07/2013', '07/08/2013', '03/03/2014', '21/04/2014', '11/09/2014', '25/09/2014', '15/10/2014', '12/11/2014', '06/12/2014', '06/12/2014', '31/01/2015', '20/02/2015', '28/02/2015', '01/03/2015', '17/04/2015', '19/04/2015', '08/05/2015', '10/05/2015', '16/05/2015', '22/05/2015', '26/06/2015', '15/01/2016', '03/02/2016', '04/03/2016', '30/03/2016', '25/04/2016', '28/04/2016', '19/05/2016', '12/06/2016', '01/07/2016', '04/07/2016', '16/07/2016', '04/08/2016', '24/08/2016', '30/08/2016', '04/09/2016', '06/10/2016', '18/10/2016', '30/01/2017', '02/04/2017', '23/04/2017', '29/04/2017', '16/06/2017', '25/11/2017', '26/01/2018', '14/05/2018']","[30, 1, 2, 0, 7, 2, 5, 0, 5, 3, 2, 16, 9, 5, 3, 2, 3, 1, 3, 6, 2, 3, 4, 4, 4, 6, 9, 11, 4, 2, 3, 2, 2, 2, 3, 1, 3, 3, 4, 3, 6, 4, 2, 2, 4, 4, 2, 3, 2, 2, 2, 4, 3, 6, 2, 3, 2, 0, 3, 3, 2, 5, 7, 2]","[34, 2, 2, 0, 9, 2, 5, 8, 7, 3, 4, 16, 9, 5, 3, 5, 6, 1, 4, 8, 4, 4, 5, 5, 4, 8, 10, 11, 4, 3, 4, 3, 2, 6, 3, 4, 3, 5, 4, 3, 6, 4, 5, 10, 4, 4, 3, 6, 3, 4, 4, 5, 3, 9, 2, 8, 2, 0, 8, 3, 3, 7, 7, 3]","[0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 7, 0]","[0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 1]","[0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 0, 0, 0, 2, 0, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",-3191647,YE-SH,Shabwah,Shabwah,15,47,,"[('SHABWAHGOVERNORATE', 90, 6), ('SANA', 55, 0), ('SADAHGOVERNORATE', 51, 14), ('HAJJAHGOVERNORATE', 51, 15), ('SANAGOVERNORATE', 39, 1)]"
